"","Row.names","logFC","AveExpr","t","P.Value","adj.P.Val","B","SeqId","SeqIdVersion","SomaId","TargetFullName","Target","UniProt","EntrezGeneID","EntrezGeneSymbol","Organism","Units","Type","Dilution","PlateScale_Reference"
"1","10000-28",-0.0194821135516374,8.27742448660962,-0.11829421831145,0.907926746562318,0.999060679170961,-4.87205844057392,"10000-28","3","SL019233","Beta-crystallin B2","CRBB2","P43320","1415","CRYBB2","Human","RFU","Protein",2.5,"292.15"
"2","10001-7",-0.0336316932192702,7.52343308038048,-0.252647592074471,0.805111446108355,0.999060679170961,-4.86047763644727,"10001-7","3","SL002564","RAF proto-oncogene serine/threonine-protein kinase","c-Raf","P04049","5894","RAF1","Human","RFU","Protein",2.5,"179.6"
"3","10003-15",0.00844521172736545,7.34586577514648,0.0859357980215306,0.933032517068595,0.999060679170961,-4.87360015403165,"10003-15","3","SL019245","Zinc finger protein 41","ZNF41","P51814","7592","ZNF41","Human","RFU","Protein",2.5,"248.75"
"4","10006-25",-0.236224172837527,8.59965989435581,-1.34183672346265,0.206185158801369,0.999060679170961,-4.50164302794117,"10006-25","3","SL019228","ETS domain-containing protein Elk-1","ELK1","P19419","2002","ELK1","Human","RFU","Protein",2.5,"235.75"
"5","10008-43",0.0845631799780531,7.02270452127734,0.784735343974119,0.448867985975805,0.999060679170961,-4.73739018635341,"10008-43","3","SL019234","Guanylyl cyclase-activating protein 1","GUC1A","P43080","2978","GUCA1A","Human","RFU","Protein",2.5,"214.8"
"6","10010-10",0.0830234587991399,7.12898262749854,0.719417354983397,0.486605118341577,0.999060679170961,-4.75862828645266,"10010-10","3","SL014943","Beclin-1","BECN1","Q14457","8678","BECN1","Human","RFU","Protein",2.5,"214.45"
"7","10011-65",0.08555274230475,7.97837819630764,0.81310765777266,0.433079371132616,0.999060679170961,-4.72768424819852,"10011-65","3","SL019246","Inositol polyphosphate 5-phosphatase OCRL-1","OCRL","Q01968","4952","OCRL","Human","RFU","Protein",2.5,"604.15"
"8","10012-5",0.031244675858467,8.30925390398921,0.246759392905669,0.809553128961352,0.999060679170961,-4.86115871788108,"10012-5","3","SL014669","SAM pointed domain-containing Ets transcription factor","SPDEF","O95238","25803","SPDEF","Human","RFU","Protein",2.5,"434.35"
"9","10014-31",0.0465310741750624,8.38552250176509,0.384292391875292,0.707948573212868,0.999060679170961,-4.84117375871365,"10014-31","3","SL007803","Zinc finger protein SNAI2","SLUG","O43623","6591","SNAI2","Human","RFU","Protein",2.5,"397.25"
"10","10015-119",0.0743623411540097,7.87059677108424,0.67241557537142,0.51493413140358,0.999060679170961,-4.77292640729539,"10015-119","3","SL014924","Voltage-gated potassium channel subunit beta-2","KCAB2","Q13303","8514","KCNAB2","Human","RFU","Protein",2.5,"291.15"
"11","10022-207",0.0492032171465144,6.17973044600126,0.472475159155035,0.645648597565325,0.999060679170961,-4.82397123351558,"10022-207","3","SL019229","DNA polymerase eta","POLH","Q9Y253","5429","POLH","Human","RFU","Protein",2.5,"109.6"
"12","10023-32",0.00585279892637836,6.40250554683874,0.0556832052814557,0.956573832935005,0.999060679170961,-4.87460041204259,"10023-32","3","SL004071","Vitamin D3 receptor","VDR","P11473","7421","VDR","Human","RFU","Protein",2.5,"199.1"
"13","10024-44",-0.165962505568737,7.48408517098821,-1.22936262495075,0.244104593104523,0.999060679170961,-4.55594407956567,"10024-44","3","SL019235","4-hydroxy-2-oxoglutarate aldolase, mitochondrial","HOGA1","Q86XE5","112817","HOGA1","Human","RFU","Protein",2.5,"284.2"
"14","10025-1",0.0247459744606697,13.6487947342717,0.112365091804282,0.912519971807893,0.999060679170961,-4.87237737337635,"10025-1","3","SL008018","Dihydrolipoyl dehydrogenase, mitochondrial","DLDH","P09622","1738","DLD","Human","RFU","Protein",2.5,"6599.0"
"15","10030-8",0.0547400363332393,6.33049413792656,0.498571489831912,0.627715034567623,0.999060679170961,-4.8182414099247,"10030-8","3","SL006373","Adenine DNA glycosylase","MutY homolog","Q9UIF7","4595","MUTYH","Human","RFU","Protein",2.5,"103.1"
"16","10035-6",0.0600054435811064,7.2294610215167,0.598449223935988,0.561432274238039,0.999060679170961,-4.79369493962573,"10035-6","3","SL007389","Dual specificity protein phosphatase 4","DUS4","Q13115","1846","DUSP4","Human","RFU","Protein",2.5,"206.05"
"17","10036-201",-0.194692927321686,9.30547315272321,-1.16569380994338,0.267931469058939,0.999060679170961,-4.5853801636021,"10036-201","3","SL019252","Zinc fingers and homeoboxes protein 3","ZHX3","Q9H4I2","23051","ZHX3","Human","RFU","Protein",2.5,"2270.2"
"18","10037-98",0.0723094137396973,5.70463419012223,0.575369370714858,0.576403461502844,0.999060679170961,-4.79973004121694,"10037-98","3","SL025986","Sialic acid-binding Ig-like lectin 12:Ig-like V-type 2 domain, Isoform long","SIG12:Ig-like V-type 2","Q96PQ1","89858","SIGLEC12","Human","RFU","Protein",2.5,"106.5"
"19","10039-32",-0.297382809528983,11.2509849336113,-1.36272375625789,0.199706245475879,0.999060679170961,-4.49126164529043,"10039-32","3","SL005262","Purine nucleoside phosphorylase","PNP","P00491","4860","PNP","Human","RFU","Protein",2.5,"3301.55"
"20","10040-63",0.0810955416341663,8.17762430606424,0.71922629571598,0.486718307065412,0.999060679170961,-4.75868809828029,"10040-63","3","SL007662","Tumor protein 63","P73L","Q9H3D4","8626","TP63","Human","RFU","Protein",2.5,"332.05"
"21","10041-3",0.0415163610669929,8.63239486216642,0.206426040363166,0.840157990665829,0.999060679170961,-4.86539851479015,"10041-3","3","SL007226","Hepatocyte nuclear factor 4-alpha","HNF4A","P41235","3172","HNF4A","Human","RFU","Protein",2.5,"5577.35"
